名次,学校名称,总分,全国排名,星级排名,办学层次
1,北京大学,100,1,8★,世界一流大学
2,清华大学,99.81,2,8★,世界一流大学
3,浙江大学,80.72,4,8★,世界一流大学
4,复旦大学,79.75,3,8★,世界一流大学
5,南京大学,76.85,5,8★,世界一流大学
6,上海交通大学,76.09,6,8★,世界一流大学
7,武汉大学,75.75,10,7★,世界知名高水平大学
8,中国人民大学,73.75,9,8★,世界一流大学
9,中国科学技术大学,73.36,8,8★,世界一流大学
10,吉林大学,72.26,19,7★,世界知名高水平大学
11,华中科技大学,71.55,7,7★,世界知名高水平大学
12,天津大学,70.95,10,7★,世界知名高水平大学
13,南开大学,70.94,12,7★,世界知名高水平大学
13,西安交通大学,70.94,15,7★,世界知名高水平大学
15,哈尔滨工业大学,70.92,16,7★,世界知名高水平大学
16,四川大学,70.89,18,7★,世界知名高水平大学
17,中山大学,70.76,14,7★,世界知名高水平大学
18,山东大学,70.39,13,7★,世界知名高水平大学
19,东南大学,69.24,17,7★,世界知名高水平大学
20,北京师范大学,69.18,22,7★,世界知名高水平大学
21,同济大学,69.01,20,7★,世界知名高水平大学
22,中南大学,68.94,25,7★,世界知名高水平大学
23,北京航空航天大学,68.57,21,7★,世界知名高水平大学
24,厦门大学,68.21,23,7★,世界知名高水平大学
25,华东师范大学,66.38,32,6★,世界高水平大学
26,华南理工大学,66.16,29,6★,世界高水平大学
27,中国农业大学,66.14,33,6★,世界高水平大学
28,大连理工大学,66.11,27,6★,世界高水平大学
29,西北工业大学,66.09,24,6★,世界高水平大学
30,北京理工大学,65.91,30,6★,世界高水平大学
31,东北大学,65.48,26,6★,世界高水平大学
31,重庆大学,65.48,35,6★,世界高水平大学
33,兰州大学,65.39,31,6★,世界高水平大学
34,湖南大学,64.87,27,6★,世界高水平大学
35,电子科技大学,64.86,34,6★,世界高水平大学
35,北京协和医学院,　,50,6★,世界高水平大学
36,华中师范大学,63.78,39,5★,中国一流大学
37,华中农业大学,63.75,36,6★,世界高水平大学
38,西安电子科技大学,63.61,41,5★,中国一流大学
38,北京科技大学,63.61,43,5★,中国一流大学
40,西南交通大学,63.51,52,5★,中国一流大学
41,河海大学,63.42,37,6★,世界高水平大学
42,华东理工大学,63.40,46,5★,中国一流大学
43,北京交通大学,63.21,45,5★,中国一流大学
44,西南大学,63.16,54,5★,中国一流大学
44,西北大学,63.16,57,5★,中国一流大学
46,南京航空航天大学,63.14,50,5★,中国一流大学
47,武汉理工大学,63.12,51,5★,中国一流大学
48,南京农业大学,62.99,38,5★,中国一流大学
48,中国海洋大学,62.99,41,6★,世界高水平大学
50,南京理工大学,62.91,43,5★,中国一流大学
51,郑州大学,62.87,40,5★,中国一流大学
52,南京师范大学,62.79,62,5★,中国一流大学
53,苏州大学,62.61,59,5★,中国一流大学
